,wind_speed,wind_speed,wind_speed,wind_speed,wind_speed,wind_direction,wind_direction
,count,mean,std,max,min,mean,std
month,,,,,,,
1,2230,5.05,3.1,15.9,0.7,181.48,116.12
2,1965,4.8,2.5,14.1,0.8,189.6,109.14
3,2181,5.25,2.87,16.8,0.6,197.54,111.77
4,1497,4.49,2.52,12.9,0.7,186.56,112.53
5,1467,4.53,2.32,14.5,0.8,198.22,111.01
6,1251,3.74,1.92,10.3,0.6,201.39,116.59
7,742,3.52,1.95,9.5,0.6,234.26,104.57
8,736,2.77,1.53,7.9,0.6,220.85,114.6
9,735,2.92,1.63,8.6,0.6,169.44,122.46
10,1384,4.03,2.12,13.3,0.6,149.79,101.31
11,806,4.37,2.78,15.6,0.8,157.27,112.74
12,2084,4.22,2.65,14.0,0.6,177.44,128.41
